BIOME_NAME,BIOME_NUM,sum
,1.0,1.3268374590669216E8
,2.0,7.909991687025034E7
,3.0,1315941.8747312597
,4.0,2.8707330344568676E8
,5.0,8453397.364216642
,7.0,1.9025503272930172E8
,8.0,2.898763926023736E8
,10.0,2.311745596495921E7
,12.0,7.099201592642958E7
,13.0,1.029148999350708E8
