ADM0_CODE,ADM0_NAME,areaHa,mean
2647,Montenegro,1375248.7994667792,6.3411533679087935
2648,Serbia,8830166.067705309,30.02329919569426
74,South Sudan,6.325043999592705E7,18.520751418382847
6,Sudan,1.8493810568671167E8,21.753923332579365
147296,Taiwan,3621078.487012282,9.788590519550779
56,Cocos (Keeling) Islands,1583.2597012558101,
54,Christmas Island,13634.107975092116,
16,Ashmore and Cartier Islands,69.07711941261599,
82,Faroe Islands,139160.47916418288,
88,French Southern and Antarctic Territories,767604.7318854181,
161,Mayotte,37975.04624938594,8.666666666666666
206,R�union,251128.70815666346,
247,Tromelin Island,89.1035644985283,
131,Juan de Nova Island,552.4863305611332,
96,Glorioso Island,493.9740071922954,
80,Europa Island,2479.362128412071,
25,Bassas da India,105.4896796256114,
210,Saint Pierre et Miquelon,23252.68191535043,
37,Brazil,8.51829085454009E8,13.402144991841034
250,Turkmenistan,5.545690044901421E7,3.9906060455176626
261,Uzbekistan,4.488872905388646E7,14.8818653697752
239,Tajikistan,1.4190155069767214E7,22.853786250500097
138,Kyrgyzstan,1.9891031344047796E7,20.133864479952035
132,Kazakhstan,2.8329982710690683E8,25.010812987790324
167,Mongolia,1.5604355578223833E8,24.93167303266206
202,Republic of Korea,9910137.187147338,26.199993842676488
67,Dem People's Rep of Korea,1.2233206884463632E7,29.320051439465345
147295,China,9.343372231452856E8,24.047594326382
171,Myanmar,6.6889653974108204E7,18.427912658726576
44,Cambodia,1.8211978385532655E7,26.171004567125966
264,Viet Nam,3.286658426228757E7,14.580966369878178
139,Lao People's Democratic Republic,2.311001358607382E7,26.581191468320554
153,Malaysia,3.3123385983418867E7,5.178934529144917
240,Thailand,5.1724223014046006E7,30.74717570971866
40,Brunei Darussalam,592492.6113652972,3.7771140647223613
196,Philippines,2.9718101446289226E7,4.722774100454384
116,Indonesia,1.8969785062123498E8,8.188200795599213
222,Singapore,59666.900359775194,11.203402366863905
242,Timor-Leste,1495447.439234595,29.805843279837088
154,Maldives,22420.38571894398,
175,Nepal,1.476551620446641E7,15.283460971354176
188,Pakistan,7.894146342584172E7,1.1384742593960315
115,India,2.9685193040796506E8,17.9840643826561
117,Iran  (Islamic Republic of),1.6782635231392774E8,21.989488624090352
231,Sri Lanka,6645400.85012693,19.219254303213514
31,Bhutan,3773585.7320460305,18.22670302105075
23,Bangladesh,1.4014572301408524E7,7.416225450985548
1,Afghanistan,6.4204947900660984E7,4.374395817619404
187,Oman,3.0920016892244544E7,0.9677788075403151
137,Kuwait,1742052.436787621,2.9964944649446497
