ADM0_CODE,ADM0_NAME,mean
46,Canada,13.01142873053772
46,Canada,8.694401593066383
46,Canada,2.2276182593812117
46,Canada,4.171276747552467
46,Canada,
46,Canada,
259,United States of America,1.8114313119237762
259,United States of America,4.729556224874401
259,United States of America,18.90363665769017
60,Cook Islands,
183,Niue,
185,Northern Mariana Islands,
265,Wake Island,
127,Jarvis Island,
178,New Caledonia,
244,Tokelau,
101,Guam,
5,American Samoa,
136,Kuril islands,
158,Martinique,
100,Guadeloupe,2.0
55,Clipperton Island,
195,Peru,4.4470445892849355
51,Chile,12.96547988189306
33,Bolivia,10.968974941892473
71,Dominica,
72,Dominican Republic,13.043835254510169
11,Antigua and Barbuda,
63,Cuba,16.8239517177379
99,Grenada,
123,Jamaica,13.338288688768413
208,Saint Kitts and Nevis,
246,Trinidad and Tobago,14.39045643153527
20,Bahamas,14.006704980842912
209,Saint Lucia,
211,Saint Vincent and the Grenadines,
24,Barbados,
108,Haiti,8.217366191759723
191,Panama,13.328972116420292
75,El Salvador,20.23471878486337
180,Nicaragua,17.293848096353287
162,Mexico,5.484947719508628
111,Honduras,16.536076620931492
103,Guatemala,20.484818427231716
61,Costa Rica,17.859100401350407
28,Belize,15.457242074660146
259,United States of America,6.2867674650200085
259,United States of America,14.6060423456286
57,Colombia,14.888460038711813
107,Guyana,12.439005182419967
73,Ecuador,10.753371604265485
86,French Guiana,16.4
194,Paraguay,12.693369091088172
233,Suriname,13.342708987250555
260,Uruguay,8.893561351523374
263,Venezuela,12.034419002798776
176,Netherlands Antilles,2.6666666666666665
174,Navassa Island,
200,Puerto Rico,11.931357462199339
190,Palmyra Atoll,
164,Midway Island,
134,Kingman Reef,
129,Johnston Atoll,
112,Howland Island,
22,Baker Island,
32,Bird Island,
14,Aruba,
197,Pitcairn,
48,Cayman Islands,15.881720430107526
168,Montserrat,
251,Turks and Caicos islands,
39,British Virgin Islands,
9,Anguilla,1.7142857142857142
30,Bermuda,
258,United States Virgin Islands,2.125
81,Falkland Islands (Malvinas),
228,South Georgia and the South Sandwich Islands,
12,Argentina,5.9450001571326325
109,Heard Island and McDonald Islands,
36,Bouvet Island,
10,Antarctica,
