"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"70","Mediterranean Forests, Woodlands & Scrub",12,"SAU","Saudi Arabia",0
"71","Temperate Grasslands, Savannas & Shrublands",8,"SYR","Syria",11405.6478816872
"72","Mediterranean Forests, Woodlands & Scrub",12,"SYR","Syria",450349.307520771
"73","Deserts & Xeric Shrublands",13,"SYR","Syria",425.785793779418
"74","Temperate Broadleaf & Mixed Forests",4,"TUR","Turkey",20313006.1656299
"75","Temperate Conifer Forests",5,"TUR","Turkey",3698668.12028102
"76","Temperate Grasslands, Savannas & Shrublands",8,"TUR","Turkey",6980982.54082756
"77","Mediterranean Forests, Woodlands & Scrub",12,"TUR","Turkey",2310429.69034319
"78","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"YEM","Yemen",4759040.66506717
"79","Deserts & Xeric Shrublands",13,"YEM","Yemen",1717666.52404503
"80","Tropical & Subtropical Moist Broadleaf Forests",1,"IOT","British Indian Ocean Territory",0
"81","Tropical & Subtropical Moist Broadleaf Forests",1,"MDV","Maldives",0
"82","Montane Grasslands & Shrublands",10,"AFG","Afghanistan",13145019.1109181
"83","Deserts & Xeric Shrublands",13,"AFG","Afghanistan",3309750.10317891
"84","Temperate Conifer Forests",5,"AFG","Afghanistan",2479090.13524632
"85","Temperate Grasslands, Savannas & Shrublands",8,"AFG","Afghanistan",1194705.05284604
"86","Tropical & Subtropical Moist Broadleaf Forests",1,"BGD","Bangladesh",0
"87","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BGD","Bangladesh",0
"88","Tropical & Subtropical Moist Broadleaf Forests",1,"BTN","Bhutan",0
"89","Tropical & Subtropical Coniferous Forests",3,"BTN","Bhutan",0
"90","Temperate Broadleaf & Mixed Forests",4,"BTN","Bhutan",0
"91","Temperate Conifer Forests",5,"BTN","Bhutan",20963.0513131052
"92","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BTN","Bhutan",0
"93","Montane Grasslands & Shrublands",10,"BTN","Bhutan",446412.438199699
"94","Tropical & Subtropical Moist Broadleaf Forests",1,"IND","India",504192.972890869
"95","Tropical & Subtropical Dry Broadleaf Forests",2,"IND","India",33412.5658200185
"96","Deserts & Xeric Shrublands",13,"IND","India",9172.11943423853
"97","Tropical & Subtropical Coniferous Forests",3,"IND","India",345194.620322093
"98","Temperate Broadleaf & Mixed Forests",4,"IND","India",1498207.52030539
"99","Temperate Conifer Forests",5,"IND","India",250877.29408039
"100","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"IND","India",0
"101","Montane Grasslands & Shrublands",10,"IND","India",1607854.42129493
"102","Temperate Broadleaf & Mixed Forests",4,"IRN","Iran",26420356.4142359
"103","Temperate Conifer Forests",5,"IRN","Iran",8905599.93369668
"104","Temperate Grasslands, Savannas & Shrublands",8,"IRN","Iran",6204862.06491368
"105","Deserts & Xeric Shrublands",13,"IRN","Iran",604110.171374366
"106","Montane Grasslands & Shrublands",10,"IRN","Iran",2625087.53136547
"107","Tropical & Subtropical Moist Broadleaf Forests",1,"LKA","Sri Lanka",0
"108","Tropical & Subtropical Dry Broadleaf Forests",2,"LKA","Sri Lanka",0
"109","Deserts & Xeric Shrublands",13,"LKA","Sri Lanka",1276.61976901777
"110","Tropical & Subtropical Moist Broadleaf Forests",1,"NPL","Nepal",52321.7239558233
"111","Tropical & Subtropical Coniferous Forests",3,"NPL","Nepal",21120.7688381676
"112","Temperate Broadleaf & Mixed Forests",4,"NPL","Nepal",203954.75141102
"113","Temperate Conifer Forests",5,"NPL","Nepal",18409.4814492887
"114","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NPL","Nepal",0
"115","Montane Grasslands & Shrublands",10,"NPL","Nepal",75854.9891442773
"116","Tropical & Subtropical Moist Broadleaf Forests",1,"PAK","Pakistan",0
"117","Temperate Conifer Forests",5,"PAK","Pakistan",30174.5480334141
"118","Montane Grasslands & Shrublands",10,"PAK","Pakistan",367177.421518534
"119","Deserts & Xeric Shrublands",13,"PAK","Pakistan",162510.862714238
"120","Tropical & Subtropical Coniferous Forests",3,"PAK","Pakistan",0
"121","Temperate Broadleaf & Mixed Forests",4,"PAK","Pakistan",0
"122","Tropical & Subtropical Moist Broadleaf Forests",1,"CXR","Christmas Island",0
"123","Tropical & Subtropical Moist Broadleaf Forests",1,"CCK","Cocos Islands",0
"124","Tropical & Subtropical Dry Broadleaf Forests",2,"TLS","East Timor",14376.2748885068
"125","Tropical & Subtropical Moist Broadleaf Forests",1,"BRN","Brunei",0
"126","Tropical & Subtropical Moist Broadleaf Forests",1,"SGP","Singapore",0
"127","Tropical & Subtropical Moist Broadleaf Forests",1,"S--","Spratly islands",0
"128","Tropical & Subtropical Moist Broadleaf Forests",1,"P--","Paracel Islands",0
"129","Tropical & Subtropical Moist Broadleaf Forests",1,"IDN","Indonesia",826061.69062407
"130","Tropical & Subtropical Dry Broadleaf Forests",2,"IDN","Indonesia",1030569.84409888
"131","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"IDN","Indonesia",0
"132","Montane Grasslands & Shrublands",10,"IDN","Indonesia",9571.7880855336
"133","Tropical & Subtropical Coniferous Forests",3,"IDN","Indonesia",0
"134","Tropical & Subtropical Moist Broadleaf Forests",1,"KHM","Cambodia",55346.540285124
"135","Tropical & Subtropical Dry Broadleaf Forests",2,"KHM","Cambodia",162418.605273101
"136","Tropical & Subtropical Moist Broadleaf Forests",1,"LAO","Laos",260103.14971541
"137","Tropical & Subtropical Dry Broadleaf Forests",2,"LAO","Laos",0
"138","Tropical & Subtropical Moist Broadleaf Forests",1,"MMR","Myanmar",0
"139","Tropical & Subtropical Coniferous Forests",3,"MMR","Myanmar",0
"140","Tropical & Subtropical Dry Broadleaf Forests",2,"MMR","Myanmar",0
"141","Temperate Broadleaf & Mixed Forests",4,"MMR","Myanmar",0
"142","Temperate Conifer Forests",5,"MMR","Myanmar",0
"143","Montane Grasslands & Shrublands",10,"MMR","Myanmar",0
"144","Tropical & Subtropical Moist Broadleaf Forests",1,"MYS","Malaysia",793.641871285066
"145","Montane Grasslands & Shrublands",10,"MYS","Malaysia",0
"146","Tropical & Subtropical Moist Broadleaf Forests",1,"MYS","Malaysia",0
"147","Montane Grasslands & Shrublands",10,"MYS","Malaysia",0
"148","Tropical & Subtropical Moist Broadleaf Forests",1,"PHL","Philippines",0
"149","Tropical & Subtropical Coniferous Forests",3,"PHL","Philippines",0
"150","Tropical & Subtropical Moist Broadleaf Forests",1,"THA","Thailand",0
"151","Tropical & Subtropical Dry Broadleaf Forests",2,"THA","Thailand",0
"152","Tropical & Subtropical Moist Broadleaf Forests",1,"VNM","Vietnam",156643.885517361
"153","Tropical & Subtropical Dry Broadleaf Forests",2,"VNM","Vietnam",0
"154","Tropical & Subtropical Moist Broadleaf Forests",1,"GNQ","Equatorial Guinea",829.195902040967
"155","Tropical & Subtropical Moist Broadleaf Forests",1,"STP","Sao Tome and Principe",0
"156","Tropical & Subtropical Moist Broadleaf Forests",1,"AGO","Angola",0
"157","Tropical & Subtropical Dry Broadleaf Forests",2,"AGO","Angola",43646.1820150722
"158","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"AGO","Angola",280640926.235193
"159","Montane Grasslands & Shrublands",10,"AGO","Angola",7487753.53091487
"160","Deserts & Xeric Shrublands",13,"AGO","Angola",2839638.65360723
"161","Tropical & Subtropical Moist Broadleaf Forests",1,"COD","Democratic Republic of the Congo",6090146.38196139
"162","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"COD","Democratic Republic of the Congo",40124791.7255073
"163","Montane Grasslands & Shrublands",10,"COD","Democratic Republic of the Congo",0
"164","Tropical & Subtropical Moist Broadleaf Forests",1,"CAF","Central African Republic",31748.6588934102
"165","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CAF","Central African Republic",8163028.71891649
"166","Tropical & Subtropical Moist Broadleaf Forests",1,"COG","Republic of Congo",2753346.79380801
"167","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"COG","Republic of Congo",12086385.012439
"168","Tropical & Subtropical Moist Broadleaf Forests",1,"CMR","Cameroon",4538.76773550122
"169","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CMR","Cameroon",5503027.18231848
"170","Tropical & Subtropical Moist Broadleaf Forests",1,"GAB","Gabon",1372979.67863686
"171","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GAB","Gabon",6149014.33384255
"172","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"TCD","Chad",254329778.10793
"173","Deserts & Xeric Shrublands",13,"TCD","Chad",17468.8124327446
"174","Tropical & Subtropical Moist Broadleaf Forests",1,"COM","Comoros",0
"175","Tropical & Subtropical Moist Broadleaf Forests",1,"MYT","Mayotte",0
"176","Tropical & Subtropical Moist Broadleaf Forests",1,"MUS","Mauritius",0
"177","Tropical & Subtropical Moist Broadleaf Forests",1,"REU","Reunion",0
"178","Deserts & Xeric Shrublands",13,"DJI","Djibouti",2725.00013399084
"179","Tropical & Subtropical Moist Broadleaf Forests",1,"BDI","Burundi",3709595.93040867
"180","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BDI","Burundi",2378518.9315357
"181","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ERI","Eritrea",14449197.782895
"182","Montane Grasslands & Shrublands",10,"ERI","Eritrea",7997388.32442732
"183","Deserts & Xeric Shrublands",13,"ERI","Eritrea",63507.3939270775
"184","Tropical & Subtropical Moist Broadleaf Forests",1,"ETH","Ethiopia",1608831.22249453
"185","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ETH","Ethiopia",86041340.3658202
"186","Montane Grasslands & Shrublands",10,"ETH","Ethiopia",565055.252436163
"187","Deserts & Xeric Shrublands",13,"ETH","Ethiopia",357826.266389598
"188","Tropical & Subtropical Moist Broadleaf Forests",1,"KEN","Kenya",5797629.27064652
