ADM0_CODE,ADM0_NAME,areaHa,mean
2647,Montenegro,1375248.7994667792,4.8998178248712705
2648,Serbia,8830166.067705309,5.494293866564712
74,South Sudan,6.325043999592705E7,6.569464478429005
6,Sudan,1.8493810568671167E8,3.3949792822379568
147296,Taiwan,3621078.487012282,10.947674405349655
56,Cocos (Keeling) Islands,1583.2597012558101,
54,Christmas Island,13634.107975092116,
16,Ashmore and Cartier Islands,69.07711941261599,
82,Faroe Islands,139160.47916418288,
88,French Southern and Antarctic Territories,767604.7318854181,
161,Mayotte,37975.04624938594,10.6
206,R�union,251128.70815666346,
247,Tromelin Island,89.1035644985283,
131,Juan de Nova Island,552.4863305611332,
96,Glorioso Island,493.9740071922954,
80,Europa Island,2479.362128412071,
25,Bassas da India,105.4896796256114,
210,Saint Pierre et Miquelon,23252.68191535043,
37,Brazil,8.51829085454009E8,10.436243204509958
250,Turkmenistan,5.545690044901421E7,1.7476150088715767
261,Uzbekistan,4.488872905388646E7,2.7329569499659305
239,Tajikistan,1.4190155069767214E7,2.367766421784378
138,Kyrgyzstan,1.9891031344047796E7,2.826613429551266
132,Kazakhstan,2.8329982710690683E8,1.6966427125529744
167,Mongolia,1.5604355578223833E8,2.5572954798462257
202,Republic of Korea,9910137.187147338,9.33846769725981
67,Dem People's Rep of Korea,1.2233206884463632E7,6.2184101004569365
147295,China,9.343372231452856E8,6.766308009771055
171,Myanmar,6.6889653974108204E7,5.729070935193512
44,Cambodia,1.8211978385532655E7,7.503255152979331
264,Viet Nam,3.286658426228757E7,12.50644658703947
139,Lao People's Democratic Republic,2.311001358607382E7,6.579692820654316
153,Malaysia,3.3123385983418867E7,14.99418525677969
240,Thailand,5.1724223014046006E7,5.595139881271759
40,Brunei Darussalam,592492.6113652972,16.300728103503044
196,Philippines,2.9718101446289226E7,15.189386359519817
116,Indonesia,1.8969785062123498E8,13.672487761333487
222,Singapore,59666.900359775194,8.892086330935252
242,Timor-Leste,1495447.439234595,12.194156720162923
154,Maldives,22420.38571894398,
175,Nepal,1.476551620446641E7,8.981299035318951
188,Pakistan,7.894146342584172E7,2.8998443910157516
115,India,2.9685193040796506E8,5.47007134109639
117,Iran  (Islamic Republic of),1.6782635231392774E8,3.3443477382286244
231,Sri Lanka,6645400.85012693,11.07363719768711
31,Bhutan,3773585.7320460305,12.654338764510333
23,Bangladesh,1.4014572301408524E7,13.28658495467545
1,Afghanistan,6.4204947900660984E7,1.7457750109247834
187,Oman,3.0920016892244544E7,2.133102694828842
137,Kuwait,1742052.436787621,1.0035055350553506
141,Lebanon,1013869.9125916223,2.751115936432278
201,Qatar,1157245.4403817973,
215,Saudi Arabia,1.9297880167054433E8,1.2997588029502616
249,Turkey,7.805741067588623E7,2.4420020448619466
269,Yemen,4.5514795111517735E7,1.8177360325271155
118,Iraq,4.360974973227138E7,1.2206641153836437
130,Jordan,8914202.624316065,1.3849452393530661
238,Syrian Arab Republic,1.881517189079607E7,2.057210192788123
121,Israel,2073762.6622446156,1.7622772731009435
92,Georgia,6967603.739950553,7.531513443370173
64,Cyprus,924986.2943167958,1.8333592309031228
21,Bahrain,67458.85558466554,
19,Azerbaijan,1.645849122228552E7,2.8764833714812057
13,Armenia,2959021.424718407,4.264906505502668
255,United Arab Emirates,7135417.26824485,1.321183953033268
165,"Moldova, Republic of",3370582.4933658815,6.209146608047811
113,Hungary,9286469.532451896,5.870951796597591
198,Poland,3.1075583808148023E7,5.97163690296501
203,Romania,2.3754290268263202E7,5.463104414748427
254,Ukraine,5.98637506463604E7,6.82013161558064
26,Belarus,2.0671246075877342E7,6.6826011636115075
65,Czech Republic,7858298.442462465,7.304569046084433
223,Slovakia,4892048.187986373,5.6974431255833435
