ADM0_CODE,ADM0_NAME,areaHA,mean
259,United States of America,,3.049460238444123
259,United States of America,,6.657856263627015
259,United States of America,,
60,Cook Islands,,
183,Niue,,
185,Northern Mariana Islands,,
265,Wake Island,,
127,Jarvis Island,,
178,New Caledonia,,
244,Tokelau,,
101,Guam,,
5,American Samoa,,
136,Kuril islands,,
158,Martinique,,
100,Guadeloupe,,
55,Clipperton Island,,
195,Peru,,4.03434153685414
51,Chile,,8.344434446801598
33,Bolivia,,11.742743077438464
71,Dominica,,
72,Dominican Republic,,19.26490596465725
11,Antigua and Barbuda,,
63,Cuba,,17.731996916945654
99,Grenada,,
123,Jamaica,,
208,Saint Kitts and Nevis,,
246,Trinidad and Tobago,,
20,Bahamas,,
209,Saint Lucia,,
211,Saint Vincent and the Grenadines,,
24,Barbados,,
108,Haiti,,
191,Panama,,22.82820133566402
75,El Salvador,,21.765649543459975
180,Nicaragua,,20.16182934158
162,Mexico,,7.12123538372787
111,Honduras,,20.717621742249147
103,Guatemala,,19.833988334091757
61,Costa Rica,,21.027387979076003
28,Belize,,
259,United States of America,,9.36927746371579
259,United States of America,,18.404115205948223
57,Colombia,,17.381905776876653
107,Guyana,,8.033938547180297
73,Ecuador,,15.295070265124297
86,French Guiana,,
194,Paraguay,,16.72514955738183
233,Suriname,,
260,Uruguay,,10.038566953292595
263,Venezuela,,14.820023501073598
176,Netherlands Antilles,,
174,Navassa Island,,
200,Puerto Rico,,
190,Palmyra Atoll,,
164,Midway Island,,
134,Kingman Reef,,
129,Johnston Atoll,,
112,Howland Island,,
22,Baker Island,,
32,Bird Island,,
14,Aruba,,
197,Pitcairn,,
48,Cayman Islands,,
168,Montserrat,,
251,Turks and Caicos islands,,
39,British Virgin Islands,,
9,Anguilla,,
30,Bermuda,,
258,United States Virgin Islands,,
81,Falkland Islands (Malvinas),,
228,South Georgia and the South Sandwich Islands,,
12,Argentina,,5.513416523779262
109,Heard Island and McDonald Islands,,
36,Bouvet Island,,
10,Antarctica,,
