"","BIOME_NAME","BIOME_NUM","ISO3","COUNTRY","sum"
"68","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"SAU","Saudi Arabia",945.709512788101
"69","Deserts & Xeric Shrublands",13,"SAU","Saudi Arabia",26408.07192989
"70","Mediterranean Forests, Woodlands & Scrub",12,"SAU","Saudi Arabia",0
"71","Temperate Grasslands, Savannas & Shrublands",8,"SYR","Syria",1051592.80155042
"72","Mediterranean Forests, Woodlands & Scrub",12,"SYR","Syria",1156318.99630849
"73","Deserts & Xeric Shrublands",13,"SYR","Syria",19899.2142208225
"74","Temperate Broadleaf & Mixed Forests",4,"TUR","Turkey",75598805.2707009
"75","Temperate Conifer Forests",5,"TUR","Turkey",8522230.36069734
"76","Temperate Grasslands, Savannas & Shrublands",8,"TUR","Turkey",16710080.9720565
"77","Mediterranean Forests, Woodlands & Scrub",12,"TUR","Turkey",12233974.5865078
"78","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"YEM","Yemen",399151.376430173
"79","Deserts & Xeric Shrublands",13,"YEM","Yemen",329771.415472395
"80","Tropical & Subtropical Moist Broadleaf Forests",1,"IOT","British Indian Ocean Territory",0
"81","Tropical & Subtropical Moist Broadleaf Forests",1,"MDV","Maldives",0
"82","Montane Grasslands & Shrublands",10,"AFG","Afghanistan",808749.260070297
"83","Deserts & Xeric Shrublands",13,"AFG","Afghanistan",489662.916011094
"84","Temperate Conifer Forests",5,"AFG","Afghanistan",86943.5904026919
"85","Temperate Grasslands, Savannas & Shrublands",8,"AFG","Afghanistan",31034.8627480815
"86","Tropical & Subtropical Moist Broadleaf Forests",1,"BGD","Bangladesh",46369477.5361545
"87","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BGD","Bangladesh",60057.6478948129
"88","Tropical & Subtropical Moist Broadleaf Forests",1,"BTN","Bhutan",9334.54636492236
"89","Tropical & Subtropical Coniferous Forests",3,"BTN","Bhutan",326.892136250795
"90","Temperate Broadleaf & Mixed Forests",4,"BTN","Bhutan",84712.5759209754
"91","Temperate Conifer Forests",5,"BTN","Bhutan",0
"92","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BTN","Bhutan",76.3936936543388
"93","Montane Grasslands & Shrublands",10,"BTN","Bhutan",0
"94","Tropical & Subtropical Moist Broadleaf Forests",1,"IND","India",504719279.016951
"95","Tropical & Subtropical Dry Broadleaf Forests",2,"IND","India",1062863287.8449
"96","Deserts & Xeric Shrublands",13,"IND","India",18310702.7825138
"97","Tropical & Subtropical Coniferous Forests",3,"IND","India",793231.508932738
"98","Temperate Broadleaf & Mixed Forests",4,"IND","India",3498016.74017821
"99","Temperate Conifer Forests",5,"IND","India",23709.7737514222
"100","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"IND","India",4183580.67576747
"101","Montane Grasslands & Shrublands",10,"IND","India",216045.17463377
"102","Temperate Broadleaf & Mixed Forests",4,"IRN","Iran",20676017.700024
"103","Temperate Conifer Forests",5,"IRN","Iran",1203554.65687333
"104","Temperate Grasslands, Savannas & Shrublands",8,"IRN","Iran",4665855.59154837
"105","Deserts & Xeric Shrublands",13,"IRN","Iran",672421.385534158
"106","Montane Grasslands & Shrublands",10,"IRN","Iran",393738.501877971
"107","Tropical & Subtropical Moist Broadleaf Forests",1,"LKA","Sri Lanka",4110.46536172883
"108","Tropical & Subtropical Dry Broadleaf Forests",2,"LKA","Sri Lanka",4797785.67804297
"109","Deserts & Xeric Shrublands",13,"LKA","Sri Lanka",95449.9597808558
"110","Tropical & Subtropical Moist Broadleaf Forests",1,"NPL","Nepal",3024556.84408608
"111","Tropical & Subtropical Coniferous Forests",3,"NPL","Nepal",218372.766408615
"112","Temperate Broadleaf & Mixed Forests",4,"NPL","Nepal",1354748.58388666
"113","Temperate Conifer Forests",5,"NPL","Nepal",178726.148644021
"114","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"NPL","Nepal",12091451.1608316
"115","Montane Grasslands & Shrublands",10,"NPL","Nepal",7977.08089746685
"116","Tropical & Subtropical Moist Broadleaf Forests",1,"PAK","Pakistan",0
"117","Temperate Conifer Forests",5,"PAK","Pakistan",3066837.40444567
"118","Montane Grasslands & Shrublands",10,"PAK","Pakistan",497697.716838591
"119","Deserts & Xeric Shrublands",13,"PAK","Pakistan",2142466.25738136
"120","Tropical & Subtropical Coniferous Forests",3,"PAK","Pakistan",411252.987830249
"121","Temperate Broadleaf & Mixed Forests",4,"PAK","Pakistan",340136.867839771
"122","Tropical & Subtropical Moist Broadleaf Forests",1,"CXR","Christmas Island",0
"123","Tropical & Subtropical Moist Broadleaf Forests",1,"CCK","Cocos Islands",0
"124","Tropical & Subtropical Dry Broadleaf Forests",2,"TLS","East Timor",1708922.90127914
"125","Tropical & Subtropical Moist Broadleaf Forests",1,"BRN","Brunei",0
"126","Tropical & Subtropical Moist Broadleaf Forests",1,"SGP","Singapore",1449.32492443486
"127","Tropical & Subtropical Moist Broadleaf Forests",1,"S--","Spratly islands",0
"128","Tropical & Subtropical Moist Broadleaf Forests",1,"P--","Paracel Islands",0
"129","Tropical & Subtropical Moist Broadleaf Forests",1,"IDN","Indonesia",53545589.446049
"130","Tropical & Subtropical Dry Broadleaf Forests",2,"IDN","Indonesia",18035161.2616432
"131","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"IDN","Indonesia",399193.918292385
"132","Montane Grasslands & Shrublands",10,"IDN","Indonesia",0
"133","Tropical & Subtropical Coniferous Forests",3,"IDN","Indonesia",408.905738357517
"134","Tropical & Subtropical Moist Broadleaf Forests",1,"KHM","Cambodia",33889121.4191393
"135","Tropical & Subtropical Dry Broadleaf Forests",2,"KHM","Cambodia",146993659.468628
"136","Tropical & Subtropical Moist Broadleaf Forests",1,"LAO","Laos",5164004.09922757
"137","Tropical & Subtropical Dry Broadleaf Forests",2,"LAO","Laos",38686578.6553741
"138","Tropical & Subtropical Moist Broadleaf Forests",1,"MMR","Myanmar",128503233.349348
"139","Tropical & Subtropical Coniferous Forests",3,"MMR","Myanmar",0
"140","Tropical & Subtropical Dry Broadleaf Forests",2,"MMR","Myanmar",55520214.591507
"141","Temperate Broadleaf & Mixed Forests",4,"MMR","Myanmar",0
"142","Temperate Conifer Forests",5,"MMR","Myanmar",0
"143","Montane Grasslands & Shrublands",10,"MMR","Myanmar",0
"144","Tropical & Subtropical Moist Broadleaf Forests",1,"MYS","Malaysia",1305793.64399849
"145","Montane Grasslands & Shrublands",10,"MYS","Malaysia",0
"146","Tropical & Subtropical Moist Broadleaf Forests",1,"MYS","Malaysia",0
"147","Montane Grasslands & Shrublands",10,"MYS","Malaysia",0
"148","Tropical & Subtropical Moist Broadleaf Forests",1,"PHL","Philippines",10388012.4919201
"149","Tropical & Subtropical Coniferous Forests",3,"PHL","Philippines",2762.0928171306
"150","Tropical & Subtropical Moist Broadleaf Forests",1,"THA","Thailand",62196149.1421918
"151","Tropical & Subtropical Dry Broadleaf Forests",2,"THA","Thailand",534525929.06837
"152","Tropical & Subtropical Moist Broadleaf Forests",1,"VNM","Vietnam",24406524.2756111
"153","Tropical & Subtropical Dry Broadleaf Forests",2,"VNM","Vietnam",66251464.4627679
"154","Tropical & Subtropical Moist Broadleaf Forests",1,"GNQ","Equatorial Guinea",0
"155","Tropical & Subtropical Moist Broadleaf Forests",1,"STP","Sao Tome and Principe",0
"156","Tropical & Subtropical Moist Broadleaf Forests",1,"AGO","Angola",0
"157","Tropical & Subtropical Dry Broadleaf Forests",2,"AGO","Angola",2605.49008763871
"158","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"AGO","Angola",53491619.0660702
"159","Montane Grasslands & Shrublands",10,"AGO","Angola",4880289.57541367
"160","Deserts & Xeric Shrublands",13,"AGO","Angola",56339.257769428
"161","Tropical & Subtropical Moist Broadleaf Forests",1,"COD","Democratic Republic of the Congo",3074807.79406824
"162","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"COD","Democratic Republic of the Congo",45471623.0633977
"163","Montane Grasslands & Shrublands",10,"COD","Democratic Republic of the Congo",0
"164","Tropical & Subtropical Moist Broadleaf Forests",1,"CAF","Central African Republic",3575.1464547393
"165","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CAF","Central African Republic",2768097.95629112
"166","Tropical & Subtropical Moist Broadleaf Forests",1,"COG","Republic of Congo",944.162755737967
"167","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"COG","Republic of Congo",5248954.00084564
"168","Tropical & Subtropical Moist Broadleaf Forests",1,"CMR","Cameroon",800613.95283418
"169","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"CMR","Cameroon",39575746.6982918
"170","Tropical & Subtropical Moist Broadleaf Forests",1,"GAB","Gabon",0
"171","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"GAB","Gabon",35074.8178981617
"172","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"TCD","Chad",88191301.6778868
"173","Deserts & Xeric Shrublands",13,"TCD","Chad",0
"174","Tropical & Subtropical Moist Broadleaf Forests",1,"COM","Comoros",0
"175","Tropical & Subtropical Moist Broadleaf Forests",1,"MYT","Mayotte",0
"176","Tropical & Subtropical Moist Broadleaf Forests",1,"MUS","Mauritius",0
"177","Tropical & Subtropical Moist Broadleaf Forests",1,"REU","Reunion",0
"178","Deserts & Xeric Shrublands",13,"DJI","Djibouti",0
"179","Tropical & Subtropical Moist Broadleaf Forests",1,"BDI","Burundi",6048132.21570667
"180","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"BDI","Burundi",1669669.87499845
"181","Tropical & Subtropical Grasslands, Savannas & Shrublands",7,"ERI","Eritrea",626238.501821873
