"","continent","biome","repTree","name","id","institution","countryExpertise","policyPriority","policy"
"34","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Acacia tortilis","Joy Tukahirwa",26,"Uganda Landcare Network","Uganda","Second","expand carbon crediting/verification"
"35","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Second","expand ag extension services"
"36","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Second","research"
"37","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Second","develop shade-grown variatals"
"38","Africa","Tropical & Subtropical Moist Broadleaf Forests","Grevillea Robusta","Drake N. Mubiru",30,"National Agricultural Research Organization (NARO)","Uganda","Second","develop shade-grown variatals"
"39","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Second","expand ag extension services"
"40","North/Central America (includes Caribbean)","Temperate Grasslands; Savannas & Shrublands","Quercus macrocarpa","William Schroeder ",6,"GreenTree Agroforestry Solutions","Canada; United States","Second","develop/reform policy"
"41","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Second","develop shade-grown variatals"
"42","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Second","expand ag extension services"
"43","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Populus","Marney Isaac",13,"University of Toronto","Canada; Costa Rica; Ghana","Second","develop/reform policy"
"44","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Second","research"
"45","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex","Manuel Bertomeu",18,"University of Extremadura","Spain; Philippines","Second","expand carbon crediting/verification"
"46","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Robinia pseudoacacia","Harry Greene",19,"Propagate Ventures","United States; Canada; Argentina; Dominican Republic","Second","develop/reform policy"
"47","South America","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Eucalyptus sp.","Wander Luis Barbosa Borges",20,"Agronomic Institute - IAC","Brazil","Second","research"
