"","ISO3","Crop_FluxDensity_mean_MgC/ha","Graze_FluxDensity_mean_MgC/ha","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_Area_sum_ha","Graze_Area_sum_ha","Crop_ForestCover_mean_percent","Graze_ForestCover_mean_percent","Crop_Delta_mean_percent","Graze_Delta_mean_percent","country_name"
"39","CHE",0.272044297382007,0.471196828244325,4943205.68453876,4427367.48864616,270365.683868463,267648.328791709,11.5545968813122,0.731700069828903,16.203744952535,29.3683117483567,"Switzerland"
"40","CHL",0.222131823103104,0.414385646950254,3072431.08191403,78871234.1890703,381718.585033484,5248662.0937106,8.53332177479495,0.332095311532371,13.4817727910151,24.1717349755209,"Chile"
"41","CHN",0.244016718842722,0.351980740800794,1526134956.36726,1998704039.12716,110983494.590714,194462468.409166,5.49009328562394,0.787901307048393,17.1513734159498,21.9569757814984,"China"
"42","CIV",0.760939012092842,0.632890826459509,28926829.0435292,85667068.7739538,1183198.9181321,5958275.01071662,7.10514300220858,16.1094213242077,16.023593612869,12.9740161558122,"Côte d’Ivoire"
"43","CMR",0.460963146415556,0.771874029636284,36966571.7143289,3476960.44189883,2051024.6586163,302085.205046031,8.87212096777615,9.47279710830116,14.2669778334199,19.6105362266641,"Cameroon"
"44","COD",0.495148938933638,0.466039143793449,49808335.386947,12576375.5785737,2355839.02770739,1009351.79230248,13.4813988967888,17.8435154462509,9.95347491048153,11.2398956760498,"Congo - Kinshasa"
"45","COG",0.623338207357221,0.762322412790017,3625444.90673079,6986987.7703248,124952.298675683,331766.912199886,12.5142247392686,16.6134353207007,11.0638340073505,12.4701477124857,"Congo - Brazzaville"
"46","COK",NA,NA,0,0,0,0,NA,NA,NA,NA,"Cook Islands"
"47","COL",0.564125666004438,0.96980792386662,20868076.8284084,502819923.802707,726490.852668176,12305604.6963475,13.2289756436828,1.3565468962226,11.929355786667,20.0928604363318,"Colombia"
"48","COM",NA,NA,0,0,0,0,NA,NA,NA,NA,"Comoros"
"49","CPV",NA,NA,0,0,0,0,NA,NA,NA,NA,"Cape Verde"
"50","CRI",0.543962385704705,0.966924043443287,1806754.84056742,2708334.70116134,80180.7378385785,84715.4916439329,18.490785851095,3.46831883818701,13.3270821321506,23.8316148785768,"Costa Rica"
"51","CUB",0.335584325365161,0.832251303702945,30086280.3167258,6351282.70197977,1112047.69240469,208749.907364158,14.3952317464826,2.58711185758575,8.87219274291022,19.8665095434226,"Cuba"
"52","CUW",NA,NA,0,0,0,0,NA,NA,NA,NA,"Curaçao"
"53","CXR",NA,NA,0,0,0,0,NA,NA,NA,NA,"Christmas Island"
"54","CYM",0.842087862209146,NA,210.030582517397,0,7.80317062823127,0,15.9145865172355,NA,26.0854134827645,NA,"Cayman Islands"
"55","CYP",0.0724241009725217,NA,685054.272977761,0,256041.156362317,0,0.547547587738606,NA,9.22084859220118,NA,"Cyprus"
"56","CZE",0.257461059283196,NA,45531375.516987,0,2652299.74746665,0,8.37729149024079,NA,19.3262273179383,NA,"Czechia"
"57","DEU",0.276951802007341,0.52446153342782,272914764.733386,1466842.20311658,12068528.4012359,49441.127191015,12.2344973019086,1.151070159289,15.7184335476067,28.9493382593703,"Germany"
"58","DJI",NA,0.0730204976299643,0,874510.489354761,0,387196.628476436,NA,0.0197299519048227,NA,4.98204476307426,"Djibouti"
"59","DMA",NA,NA,0,0,0,0,NA,NA,NA,NA,"Dominica"
"60","DNK",0.526794390500785,NA,57932362.8490217,0,2058661.19944558,0,11.1236547416279,NA,24.4148067982826,NA,"Denmark"
"61","DOM",0.291720885523674,0.901574296304734,567814.088614845,3547289.59213892,54892.3739932346,109517.217951597,14.0171787340022,4.16913736627373,7.1500375046027,23.46784013074,"Dominican Republic"
"62","DZA",0.0927129627846336,0.12167676708685,13924791.1574487,40087729.74719,5586417.38489973,21643605.1854662,1.38677601876225,0.360136289491373,9.76580123891196,19.6581100409789,"Algeria"
"63","ECU",0.752795485426692,0.851114018390353,4170831.24916516,12765307.1395852,177143.596413708,516866.824015073,10.3829320475538,2.32046022573395,19.844534019013,22.5559309186445,"Ecuador"
"64","EGY",0.0204807517815789,0.0282576268374131,712899.386406275,319011.618575565,858670.758787059,331091.160409859,5.18660614708214,0,3.52905546751744,5,"Egypt"
"65","ERI",0.271023039990189,0.24648101796114,3670283.6022277,60085093.1767624,291752.360619342,6572159.05058018,1.40541071648538,0.0743187813338168,17.598893928283,17.2346485431244,"Eritrea"
"66","ESH",0.176592182281302,0.0311875563133172,1346.95687035067,348155.724216051,225.277617272949,331768.715104924,0,0,9.75,5,"Western Sahara"
"67","ESP",0.264816228553956,0.442499292956677,41909949.6829196,2839648.37404377,11284372.1820924,132531.910838426,4.81293786367003,2.10441850549705,17.8437624505765,26.9043057741451,"Spain"
"68","EST",0.402108236136357,NA,14975850.9343192,0,647219.600424157,0,12.3866592589171,NA,23.151802281015,NA,"Estonia"
"69","ETH",0.292229321274612,0.330957169018068,232137670.693427,121052012.352855,14759806.0331636,10803261.6471571,9.67435060950397,5.64534262953071,10.3020392140124,15.1575529273782,"Ethiopia"
"70","FIN",0.335604670556928,NA,1593038.72731841,0,78204.5658030443,0,15.8449967175969,NA,19.6934648223484,NA,"Finland"
"71","FJI",NA,NA,0,0,0,0,NA,NA,NA,NA,"Fiji"
"72","FLK",NA,NA,0,0,0,0,NA,NA,NA,NA,"Falkland Islands"
"73","FRA",0.235455135997309,0.431359796658209,387193549.117555,5096942.15654551,17204093.9952487,250558.905395152,8.1686978701254,1.36672174519324,13.775411749215,26.3688592979708,"France"
"74","FRO",NA,NA,0,0,0,0,NA,NA,NA,NA,"Faroe Islands"
"75","FSM",NA,NA,0,0,0,0,NA,NA,NA,NA,"Micronesia (Federated States of)"
"76","GAB",0.778517576436297,0.928797166686768,18572.7799187831,6541889.61172566,754.423252203369,229815.751272706,9.60119905561637,13.3656475727908,13.5386354586389,15.7182597989076,"Gabon"
"77","GBR",0.244328412285961,0.783236471262657,147657088.486699,79972733.1195536,5624712.2948482,1665803.16383239,8.98803941849421,0.444352973005683,12.7582142569079,29.6650829449119,"United Kingdom"
"78","GEO",0.172090199613833,0.252351276038353,2427190.37996941,14054061.9024715,227723.33596628,768308.348462501,7.68321965928967,0.404580129112754,15.5608366655884,19.7248711607844,"Georgia"
"79","GGY",0.547735862911066,NA,4684.1449511114,0,185.537957619222,0,15.5293454157809,NA,20.0091161242207,NA,"Guernsey"
"80","GHA",0.801346911544821,0.631151254955422,71888532.5539008,87481412.4404476,2771785.07733359,5300212.08029196,5.66822798886947,15.1874548490934,17.4496725819421,13.895912238425,"Ghana"
"81","GIB",0.150822547342723,NA,4.47942965607887,0,0.797893444824219,0,2.63636363636364,NA,7.11363636363636,NA,"Gibraltar"
"82","GIN",0.569450161582022,0.472023250638056,5997404.94757713,26225001.8798326,320566.870609755,2048637.92895694,6.78810847118887,15.7986774925515,16.3281083164431,13.2850853101468,"Guinea"
"83","GLP",NA,NA,0,0,0,0,NA,NA,NA,NA,"Guadeloupe"
"84","GMB",0.562952058274649,0.399179667645379,4755797.03714748,3742042.56825895,272203.650428901,302066.132242675,1.67658595188068,8.73022435391202,23.545636268168,18.1864423159624,"Gambia"
"85","GNB",0.620310305008106,0.350635913137703,696546.581610762,6374592.74023474,36339.3290400677,588324.986959629,7.26226104953652,16.951755710392,17.9599611704659,9.96491095954335,"Guinea-Bissau"
"86","GNQ",0.54673512506485,1.36813514655517,16.238033214426,84.9611926010764,0.982871966552734,2.05555640869141,10,5.1304347826087,11,26.1195652173913,"Equatorial Guinea"
"87","GRC",0.211359943549628,0.396223775897493,7550209.70217883,1356335.61654642,1848729.3391148,107973.56452722,4.95596609362013,0.983165195121334,17.8471566407002,28.021566971686,"Greece"
"88","GRD",NA,NA,0,0,0,0,NA,NA,NA,NA,"Grenada"
"89","GTM",0.234557921762062,0.712482157475858,2303109.47997049,705261.387557073,122368.457987782,19766.167087731,16.5282969951688,6.41195459658075,6.69358701741236,16.9814484766645,"Guatemala"
"90","GUF",0.0960260192027826,NA,3.15292961168289,0,0.44490126953125,0,20.8061915511125,NA,1.89132537891003,NA,"French Guiana"
"91","GUM",NA,NA,0,0,0,0,NA,NA,NA,NA,"Guam"
"92","GUY",0.672917110515112,1.52773545425662,1373986.16592151,23370295.3170694,114293.104824687,547968.395367316,8.54719911788373,0.272333591347482,14.6236752600145,28.8119431957647,"Guyana"
"93","HKG",0.225156783818664,NA,395.622190176773,0,44.5367732183479,0,15.2203883144117,NA,6.084402945501,NA,"Hong Kong SAR China"
"94","HND",0.418782537655354,0.830461653324698,1706392.0760311,81433.4307654075,73239.4872247656,3508.18751424517,16.0823111263487,5.2399293032212,11.8563525613382,22.3913532312988,"Honduras"
"95","HRV",0.213189997910436,0.431409784916485,14246711.102237,3455004.37673701,909337.389293126,201959.062248543,7.25957618682375,1.38515855512495,15.7626570713304,27.6052582287813,"Croatia"
"96","HTI",0.883945264733861,0.996622565973977,45206.3461386409,62709.6719587786,2258.33767579477,1581.6350098955,7.59936243404885,2.1872061291611,23.8125512852981,25.4910116739275,"Haiti"
"97","HUN",0.331923224811484,0.381286672463034,66838027.7460897,19427.2041493349,4572080.27562312,1150.89448555908,5.87093884263189,0.44284881564305,29.6675226972724,34.5571511843569,"Hungary"
"98","IDN",0.518402431994189,0.987542395801466,92685446.13006,3844213.12737115,6760736.23138933,147174.411644237,14.9367692840303,1.07214115607533,12.3489361453178,24.6606939992753,"Indonesia"
"99","IMN",0.473799822178474,NA,156201.691041455,0,6432.63018209906,0,18.6029674574881,NA,16.9354940825199,NA,"Isle of Man"
"100","IND",0.300325541278671,0.450215659872831,1599385005.99487,11267975.1751102,111549281.990118,825299.59310967,8.15965237695027,2.17671917904908,16.4708744868548,21.8793040987582,"India"
"101","IOT",NA,NA,0,0,0,0,NA,NA,NA,NA,"British Indian Ocean Territory"
"102","IRL",0.546898404149224,1.07033207385448,11174656.7167867,18758690.1387979,410489.958563579,354276.017827982,15.8890226197829,0.487352775863806,19.649438920177,34.5126472241362,"Ireland"
"103","IRN",0.15646793662247,0.150310145801358,92101315.0738743,201243031.292722,13903667.0949562,41751072.3302258,0.692223135013835,0.0263956369173869,22.2251409983718,21.0139871043711,"Iran"
"104","IRQ",0.181920203909862,0.127081985807954,25789854.2163342,2099158.65800463,5745694.03189061,1142552.67017931,0.0865307632533832,0.0248685576669741,19.1595573154803,19.9758901639629,"Iraq"
"105","ISR",0.0995127082578358,0.0283561347500691,1135795.13061263,43929.1175888494,415296.719602975,44497.1443148522,1.17196038058403,0,12.626566307275,5,"Israel"
"106","ITA",0.205484448040543,0.388419523390555,61507941.7855691,1890394.81068679,7079218.46672795,127024.639698822,7.4724900496289,1.59329526963355,14.3084802261873,26.1477426707817,"Italy"
"107","JAM",0.601507891136711,NA,427241.043506205,0,19584.6641316693,0,14.721956139876,NA,17.0118721988383,NA,"Jamaica"
"108","JEY",0.580041177346645,NA,90723.242195565,0,3408.86584542955,0,13.3340479111242,NA,22.2044136288639,NA,"Jersey"
"109","JOR",0.0673271638736372,0.0979097397179101,701158.83813609,124223.170462197,257630.550613236,125771.171232704,0.113685473942167,0.000737892059413332,13.7140749302434,13.9995020468351,"Jordan"
"110","JPN",0.288447753067758,NA,42816606.3224912,0,2885333.48769379,0,12.6178115211504,NA,13.0144918301454,NA,"Japan"
"111","KAZ",0.174258256077033,0.158632844141193,264402340.438067,565885849.634467,21701858.3761048,168732394.913022,2.89548353074283,0.384713074871919,16.883091684279,17.1682557395178,"Kazakhstan"
"112","KEN",0.535445559005186,0.580772615431222,177752914.025248,654695837.398474,11018115.6195247,39352089.1216533,7.8496101911238,9.25747189102757,15.0352090029289,19.7166544067829,"Kenya"
