id,name,institution,countryExpertise,continent,biome,repTree,cornBImp,cornBNImp,cornFImp,cornFNImp,wheatBImp,wheatBNImp,wheatFImp,wheatFNImp,soyBImp,soyBNImp,soyFImp,soyFNImp,policiesImp,policiesNImp
7,Kiros Hadgu,World Agroforestry (ICRAF),Ethiopia,Africa,Tropical & Subtropical Grasslands; Savannas; and Shrublands,Faidherbia albida,NA,NA,NA,NA,5;3;4;1;2;6;8;7;9,NA,3;1;4;5;2;7;6;9;8,,NA,NA,NA,NA,NA,3;5;4;1;2;6
9,Abayneh Derero,Ethiopian Environment and Forest Research Institute,Ethiopia,Africa,Tropical & Subtropical Dry Broadleaf Forests,Faidherbia albida,NA,NA,NA,NA,1;2;3;4;5;6;7,9;8,1;3;4;8;2;5;6;9,7,NA,NA,NA,NA,1;2;3;4;5;6,NA
12,Paul Burgess,Cranfield University,UK,Europe,Temperate Broadleaf & Mixed Forests,Populus,NA,NA,NA,NA,1;6;7;2;3;5;9;4,8,1;2;5;4;6;3,7;8;9,NA,NA,NA,NA,3;5;6;1;4,2
13,Marney Isaac,University of Toronto,Canada; Costa Rica; Ghana,North/Central America (includes Caribbean),Temperate Broadleaf & Mixed Forests,Populus,NA,NA,NA,NA,2;3;4;5,1;6;7;8;9,2;1;3;4,5;6;7;8;9,NA,NA,NA,NA,1;3;6,2;4;5
17,Michael den Herder,European Forest Institute,Finland,Europe,Boreal Forests & Taiga,Alnus glutinosa,NA,NA,NA,NA,4;5;2;1;6;3;7,8;9,8;2;6;3;4;5;9,1;7,NA,NA,NA,NA,3;1;Other;5;6,2;4
18,Manuel Bertomeu,University of Extremadura,Spain; Philippines,Europe,Mediterranean Forests; Woodland; & Scrub,Quercus ilex,NA,NA,NA,NA,8;2;3;5;1;4;6;7,,8;1;2;3;4;5;6;7,,NA,NA,NA,NA,5;6;3;4;2;1,NA
19,Harry Greene,Propagate Ventures,United States; Canada; Argentina; Dominican Republic,North/Central America (includes Caribbean),Temperate Broadleaf & Mixed Forests,Robinia pseudoacacia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4;3;1;6;5;2,NA
20,Wander Luis Barbosa Borges,Agronomic Institute - IAC,Brazil,South America,Tropical & Subtropical Grasslands; Savannas; and Shrublands,Eucalyptus sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2;1;4;5;3;6,NA
24,Pierluigi Paris,National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ,Italy,Europe,Mediterranean Forests; Woodland; & Scrub,Olive tree (Olea europea L.) ,NA,NA,NA,NA,3;1;9;2;4;5;6;7;8,NA,1;8;6;7;4;2;3;5;9,NA,NA,NA,NA,NA,5;3;6;1;2;4,NA
25,Pierluigi Paris,National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET),Italy,Europe,Mediterranean Forests; Woodland; & Scrub,Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ,NA,NA,NA,NA,9;1;7;4;6;2;3;5;8,NA,8;Other;6;1;3;4;2;5;Other;9,7,NA,NA,NA,NA,6;3;5;1;2;4,NA
